order_id,order_date,customer_id,product_id,quantity,unit_price,selling_centre_id,selling_centre_postal_code,customer_postal_code,selling_customer_care_id,total_price
ORD100022,2023-12-21,CUST6780,PROD165,49,614.43,CENTRE18,560004,110094,CARE193,30107.07
ORD100023,2025-03-27,CUST4941,PROD444,31,47.24,CENTRE13,560020,110032,CARE184,1464.44
ORD100024,2025-05-19,CUST7825,PROD383,20,188.2,CENTRE7,560048,110002,CARE138,3764.0
ORD100025,2024-12-10,CUST4068,PROD755,1,504.89,CENTRE16,560067,110005,CARE142,504.89
ORD100026,2024-08-03,CUST2402,PROD432,50,950.8,CENTRE4,560095,110003,CARE190,47540.0
ORD100027,2024-01-12,CUST9576,PROD982,28,630.92,CENTRE11,560077,110097,CARE159,17665.76
ORD100028,2024-09-02,CUST6908,PROD383,19,784.76,CENTRE19,560041,110068,CARE185,14910.44
ORD100029,2025-01-24,CUST2108,PROD367,39,354.38,CENTRE15,560043,110014,CARE175,13820.82
ORD100030,2024-03-11,CUST9618,PROD771,15,14.52,CENTRE10,560022,110065,CARE166,217.8
ORD100031,2023-06-07,CUST9914,PROD828,1,243.28,CENTRE3,560074,110051,CARE166,243.28
ORD100032,2023-11-11,CUST9312,PROD767,36,126.33,CENTRE6,560056,110063,CARE173,4547.88
ORD100033,2025-05-15,CUST9316,PROD405,24,534.9,CENTRE4,560031,110006,CARE134,12837.6
ORD100034,2024-08-06,CUST1333,PROD292,13,104.73,CENTRE18,560072,110021,CARE197,1361.49
ORD100035,2024-05-14,CUST7397,PROD253,27,368.28,CENTRE6,560051,110037,CARE116,9943.56
ORD100036,2024-03-11,CUST8702,PROD629,36,763.52,CENTRE2,560025,110039,CARE141,27486.72
ORD100037,2023-11-07,CUST1713,PROD883,28,544.33,CENTRE20,560079,110004,CARE154,15241.24
ORD100038,2024-01-07,CUST7338,PROD346,26,227.08,CENTRE16,560083,110030,CARE147,5904.08
ORD100039,2024-05-10,CUST7116,PROD158,16,772.63,CENTRE1,560051,110081,CARE184,12362.08
ORD100040,2023-09-13,CUST5155,PROD924,11,662.73,CENTRE6,560007,110099,CARE118,7290.03
ORD100041,2023-09-03,CUST1266,PROD977,46,283.66,CENTRE7,560074,110089,CARE174,13048.36
ORD100042,2024-06-24,CUST6850,PROD921,48,201.78,CENTRE3,560055,110032,CARE194,9685.44
ORD100043,2023-09-08,CUST2106,PROD929,42,798.65,CENTRE13,560017,110005,CARE104,33543.3
ORD100044,2024-06-02,CUST6649,PROD714,25,688.39,CENTRE10,560082,110035,CARE195,17209.75
ORD100045,2024-05-18,CUST4950,PROD513,25,968.89,CENTRE7,560050,110096,CARE149,24222.25
ORD100046,2025-02-08,CUST2698,PROD776,15,479.67,CENTRE8,560094,110016,CARE180,7195.05
ORD100047,2024-02-26,CUST6447,PROD427,17,184.56,CENTRE10,560023,110049,CARE106,3137.52
ORD100048,2023-07-15,CUST3185,PROD797,6,673.44,CENTRE17,560052,110084,CARE125,4040.64
ORD100049,2024-09-13,CUST1726,PROD243,28,52.68,CENTRE3,560041,110052,CARE123,1475.04
ORD100050,2024-12-01,CUST6772,PROD838,41,648.41,CENTRE15,560067,110017,CARE101,26584.81
ORD100051,2023-10-06,CUST9945,PROD126,16,292.21,CENTRE2,560021,110095,CARE118,4675.36
ORD100052,2024-06-22,CUST6546,PROD771,34,440.32,CENTRE12,560056,110035,CARE181,14970.88
ORD100053,2023-08-20,CUST3868,PROD609,49,340.95,CENTRE17,560030,110011,CARE104,16706.55
ORD100054,2024-12-17,CUST8612,PROD402,40,807.1,CENTRE1,560013,110010,CARE130,32284.0
ORD100055,2024-03-27,CUST8840,PROD365,45,760.82,CENTRE6,560091,110010,CARE120,34236.9
ORD100056,2025-03-05,CUST3986,PROD528,44,52.88,CENTRE11,560017,110065,CARE150,2326.72
ORD100057,2025-02-23,CUST3209,PROD514,18,743.01,CENTRE14,560065,110093,CARE141,13374.18
ORD100058,2024-06-05,CUST2033,PROD497,19,925.61,CENTRE13,560016,110091,CARE101,17586.59
ORD100059,2025-01-12,CUST8498,PROD854,42,184.13,CENTRE6,560081,110098,CARE173,7733.46
ORD100060,2023-12-14,CUST1605,PROD136,48,787.64,CENTRE4,560074,110094,CARE161,37806.72
ORD100061,2025-05-22,CUST5807,PROD697,35,490.21,CENTRE5,560051,110054,CARE161,17157.35
ORD100062,2023-08-11,CUST4302,PROD825,18,124.9,CENTRE18,560098,110003,CARE144,2248.2
ORD100063,2023-07-17,CUST1717,PROD685,27,896.13,CENTRE14,560081,110002,CARE124,24195.51
ORD100064,2025-04-08,CUST4268,PROD935,13,724.19,CENTRE16,560034,110096,CARE180,9414.47
ORD100065,2024-01-20,CUST1686,PROD294,5,596.78,CENTRE3,560071,110070,CARE173,2983.9
ORD100066,2024-03-23,CUST6170,PROD451,12,332.71,CENTRE13,560021,110078,CARE151,3992.52
ORD100067,2023-08-21,CUST6080,PROD843,9,206.76,CENTRE7,560042,110020,CARE157,1860.84
ORD100068,2024-01-25,CUST9444,PROD830,19,680.08,CENTRE5,560027,110013,CARE127,12921.52
ORD100069,2023-09-12,CUST7524,PROD327,8,332.43,CENTRE7,560012,110095,CARE158,2659.44
ORD100070,2024-06-24,CUST9897,PROD802,41,781.19,CENTRE10,560012,110076,CARE179,32028.79
ORD100071,2024-03-11,CUST8756,PROD647,30,332.87,CENTRE14,560004,110051,CARE133,9986.1
ORD100072,2024-09-07,CUST5150,PROD753,40,107.08,CENTRE16,560056,110025,CARE169,4283.2
ORD100073,2025-03-12,CUST1599,PROD903,29,740.37,CENTRE6,560002,110078,CARE156,21470.73
ORD100074,2024-06-08,CUST4131,PROD587,18,871.19,CENTRE20,560081,110040,CARE115,15681.42
ORD100075,2023-11-14,CUST5687,PROD787,45,381.78,CENTRE19,560099,110042,CARE195,17180.1
ORD100076,2024-06-14,CUST6848,PROD467,40,228.46,CENTRE10,560076,110055,CARE135,9138.4
ORD100077,2024-05-29,CUST1783,PROD619,32,476.28,CENTRE19,560020,110066,CARE183,15240.96
ORD100078,2024-01-01,CUST6438,PROD407,13,489.56,CENTRE7,560004,110096,CARE198,6364.28
ORD100079,2025-04-17,CUST5476,PROD965,21,891.58,CENTRE17,560080,110003,CARE165,18723.18
ORD100080,2024-02-29,CUST3039,PROD274,2,153.49,CENTRE15,560091,110039,CARE143,306.98
ORD100081,2025-05-19,CUST7029,PROD960,10,928.61,CENTRE9,560070,110036,CARE143,9286.1
ORD100082,2025-04-30,CUST8159,PROD773,4,460.44,CENTRE7,560011,110059,CARE123,1841.76
ORD100083,2025-03-25,CUST7553,PROD997,35,393.46,CENTRE1,560074,110026,CARE132,13771.1
ORD100084,2023-08-13,CUST8204,PROD671,2,145.04,CENTRE5,560049,110013,CARE143,290.08
ORD100085,2025-02-13,CUST7334,PROD285,12,722.62,CENTRE15,560004,110034,CARE162,8671.44
ORD100086,2025-03-12,CUST6554,PROD400,7,635.7,CENTRE3,560096,110084,CARE198,4449.9
ORD100087,2023-11-23,CUST4060,PROD199,19,975.8,CENTRE13,560094,110074,CARE170,18540.2
ORD100088,2024-11-28,CUST9129,PROD582,18,210.19,CENTRE20,560017,110061,CARE158,3783.42
ORD100089,2024-02-06,CUST9151,PROD231,9,135.94,CENTRE8,560059,110049,CARE184,1223.46
ORD100090,2023-11-15,CUST7018,PROD858,46,695.29,CENTRE17,560082,110038,CARE112,31983.34
ORD100091,2024-09-16,CUST9507,PROD364,29,69.06,CENTRE11,560081,110055,CARE185,2002.74
ORD100092,2024-06-23,CUST5369,PROD842,47,145.14,CENTRE19,560046,110012,CARE143,6821.58
ORD100093,2024-03-03,CUST2353,PROD927,1,853.13,CENTRE16,560024,110029,CARE197,853.13
ORD100094,2025-03-17,CUST7955,PROD672,15,463.99,CENTRE15,560031,110053,CARE166,6959.85
ORD100095,2025-05-05,CUST2293,PROD881,6,179.49,CENTRE15,560084,110072,CARE133,1076.94
ORD100096,2024-12-22,CUST8055,PROD287,10,350.14,CENTRE19,560029,110036,CARE108,3501.4
ORD100097,2024-01-11,CUST3956,PROD796,1,887.54,CENTRE2,560039,110062,CARE146,887.54
ORD100098,2025-05-02,CUST9937,PROD443,32,607.6,CENTRE3,560025,110037,CARE154,19443.2
ORD100099,2024-04-28,CUST5813,PROD770,14,791.65,CENTRE10,560069,110090,CARE182,11083.1
ORD100100,2023-07-28,CUST6262,PROD191,22,641.62,CENTRE15,560032,110069,CARE103,14115.64
ORD100101,2024-01-21,CUST2680,PROD327,27,615.41,CENTRE12,560093,110065,CARE169,16616.07
ORD100102,2023-07-03,CUST2311,PROD463,20,178.24,CENTRE10,560049,110032,CARE116,3564.8
ORD100103,2024-04-19,CUST6372,PROD328,32,970.43,CENTRE13,560099,110049,CARE112,31053.76
ORD100104,2024-07-15,CUST5843,PROD862,24,856.45,CENTRE20,560034,110003,CARE129,20554.8
ORD100105,2024-03-01,CUST6021,PROD992,30,95.61,CENTRE6,560085,110064,CARE158,2868.3
ORD100106,2023-08-07,CUST8305,PROD414,45,858.4,CENTRE14,560007,110094,CARE114,38628.0
ORD100107,2024-01-03,CUST7981,PROD530,3,494.32,CENTRE8,560036,110051,CARE115,1482.96
ORD100108,2025-01-01,CUST3730,PROD907,22,995.71,CENTRE6,560011,110048,CARE170,21905.62
ORD100109,2024-04-18,CUST8272,PROD439,6,595.67,CENTRE20,560019,110098,CARE191,3574.02
ORD100110,2024-01-04,CUST6759,PROD480,49,838.62,CENTRE14,560081,110070,CARE137,41092.38
ORD100111,2025-04-02,CUST8325,PROD366,10,286.38,CENTRE15,560003,110092,CARE116,2863.8
ORD100112,2024-10-24,CUST1693,PROD699,4,732.72,CENTRE13,560082,110014,CARE144,2930.88
ORD100113,2024-07-10,CUST6776,PROD401,18,738.82,CENTRE6,560075,110058,CARE139,13298.76
ORD100114,2025-03-20,CUST8126,PROD574,50,254.19,CENTRE19,560014,110029,CARE157,12709.5
ORD100115,2024-09-12,CUST5498,PROD971,26,334.02,CENTRE4,560015,110074,CARE155,8684.52
ORD100116,2023-10-25,CUST1939,PROD220,5,583.67,CENTRE13,560059,110004,CARE170,2918.35
ORD100117,2024-02-27,CUST2229,PROD581,35,892.9,CENTRE2,560077,110051,CARE110,31251.5
ORD100118,2023-10-21,CUST7655,PROD154,31,595.85,CENTRE8,560016,110099,CARE164,18471.35
ORD100119,2024-02-08,CUST6952,PROD987,12,157.48,CENTRE6,560014,110030,CARE123,1889.76
ORD100120,2024-12-26,CUST9406,PROD749,13,577.96,CENTRE9,560019,110058,CARE150,7513.48
ORD100121,2024-12-03,CUST3621,PROD697,17,15.03,CENTRE18,560037,110048,CARE165,255.51
ORD100122,2024-02-25,CUST1510,PROD694,25,980.38,CENTRE10,560034,110062,CARE124,24509.5
ORD100123,2025-01-19,CUST3339,PROD735,1,49.66,CENTRE3,560024,110073,CARE118,49.66
ORD100124,2024-08-12,CUST8179,PROD172,8,475.95,CENTRE7,560012,110014,CARE187,3807.6
ORD100125,2025-01-18,CUST1570,PROD583,50,770.92,CENTRE16,560010,110083,CARE128,38546.0
ORD100126,2024-07-13,CUST3068,PROD299,46,43.28,CENTRE14,560064,110040,CARE199,1990.88
ORD100127,2024-06-05,CUST2101,PROD612,16,535.81,CENTRE18,560047,110043,CARE102,8572.96
ORD100128,2024-01-11,CUST4866,PROD222,25,484.48,CENTRE4,560027,110019,CARE125,12112.0
ORD100129,2023-10-20,CUST7001,PROD988,50,800.04,CENTRE12,560051,110081,CARE193,40002.0
ORD100130,2024-11-03,CUST6933,PROD797,29,823.08,CENTRE3,560013,110011,CARE195,23869.32
ORD100131,2024-10-18,CUST7272,PROD490,16,457.92,CENTRE4,560063,110013,CARE145,7326.72
ORD100132,2023-09-02,CUST1530,PROD642,48,248.11,CENTRE17,560003,110072,CARE167,11909.28
ORD100133,2023-07-19,CUST3513,PROD405,3,562.9,CENTRE11,560053,110022,CARE176,1688.7
ORD100134,2023-09-21,CUST8371,PROD523,13,22.3,CENTRE14,560010,110027,CARE199,289.9
ORD100135,2023-11-04,CUST7077,PROD155,30,734.47,CENTRE15,560063,110063,CARE119,22034.1
ORD100136,2025-03-04,CUST7095,PROD991,48,950.43,CENTRE6,560081,110076,CARE172,45620.64
ORD100137,2023-11-11,CUST8273,PROD974,50,141.38,CENTRE9,560010,110032,CARE167,7069.0
ORD100138,2025-04-27,CUST2259,PROD254,7,302.83,CENTRE7,560027,110011,CARE167,2119.81
ORD100139,2024-08-06,CUST3255,PROD240,34,651.16,CENTRE17,560088,110019,CARE106,22139.44
ORD100140,2025-01-31,CUST9674,PROD305,43,99.82,CENTRE2,560054,110052,CARE168,4292.26
ORD100141,2023-08-05,CUST7012,PROD450,14,484.99,CENTRE15,560049,110079,CARE146,6789.86
ORD100142,2024-06-29,CUST7521,PROD519,31,311.79,CENTRE1,560041,110061,CARE169,9665.49
ORD100143,2024-06-25,CUST6150,PROD683,25,706.27,CENTRE3,560082,110067,CARE129,17656.75
ORD100144,2025-01-31,CUST5566,PROD568,44,859.34,CENTRE15,560058,110093,CARE188,37810.96
ORD100145,2024-09-22,CUST5089,PROD246,20,749.81,CENTRE13,560021,110073,CARE167,14996.2
ORD100146,2024-11-23,CUST2858,PROD423,21,34.17,CENTRE11,560024,110098,CARE121,717.57
ORD100147,2024-02-13,CUST1424,PROD983,11,460.29,CENTRE13,560039,110030,CARE147,5063.19
ORD100148,2024-12-18,CUST4048,PROD832,41,774.12,CENTRE7,560002,110008,CARE120,31738.92
ORD100149,2023-06-12,CUST9176,PROD284,47,875.46,CENTRE13,560023,110099,CARE112,41146.62
ORD100150,2025-04-27,CUST9482,PROD897,3,411.31,CENTRE2,560085,110064,CARE187,1233.93
ORD100151,2023-09-26,CUST7340,PROD182,48,791.96,CENTRE1,560073,110033,CARE121,38014.08
ORD100152,2025-04-29,CUST2929,PROD599,36,376.72,CENTRE9,560081,110053,CARE181,13561.92
ORD100153,2024-12-01,CUST5288,PROD440,34,469.65,CENTRE4,560078,110040,CARE181,15968.1
ORD100154,2024-02-29,CUST5264,PROD746,8,637.07,CENTRE5,560005,110095,CARE179,5096.56
ORD100155,2025-03-18,CUST8311,PROD281,17,861.78,CENTRE11,560016,110044,CARE128,14650.26
ORD100156,2024-05-14,CUST4515,PROD420,31,79.99,CENTRE15,560044,110020,CARE196,2479.69
ORD100157,2023-09-23,CUST5678,PROD749,41,894.5,CENTRE16,560045,110005,CARE191,36674.5
ORD100158,2024-03-27,CUST9047,PROD159,20,339.58,CENTRE15,560062,110042,CARE119,6791.6
ORD100159,2024-08-19,CUST4279,PROD104,13,42.39,CENTRE3,560079,110089,CARE169,551.07
ORD100160,2023-11-09,CUST3009,PROD562,24,431.64,CENTRE3,560077,110073,CARE178,10359.36
ORD100161,2024-09-07,CUST3223,PROD380,4,277.09,CENTRE18,560070,110077,CARE154,1108.36
ORD100162,2023-06-04,CUST2213,PROD314,43,946.63,CENTRE8,560001,110053,CARE125,40705.09
ORD100163,2024-02-25,CUST8406,PROD879,14,547.01,CENTRE15,560021,110001,CARE135,7658.14
ORD100164,2024-10-25,CUST3828,PROD892,8,796.53,CENTRE5,560067,110035,CARE106,6372.24
ORD100165,2023-11-30,CUST8292,PROD272,16,789.81,CENTRE16,560095,110089,CARE151,12636.96
ORD100166,2024-11-01,CUST2438,PROD690,41,90.15,CENTRE9,560033,110027,CARE137,3696.15
ORD100167,2023-09-17,CUST6236,PROD882,28,882.04,CENTRE6,560016,110097,CARE149,24697.12
ORD100168,2025-03-02,CUST6692,PROD262,21,738.4,CENTRE6,560025,110072,CARE166,15506.4
ORD100169,2024-04-01,CUST2063,PROD601,1,64.26,CENTRE1,560078,110063,CARE153,64.26
ORD100170,2025-03-16,CUST9882,PROD904,11,945.87,CENTRE20,560004,110070,CARE160,10404.57
ORD100171,2024-11-01,CUST5757,PROD881,18,677.91,CENTRE4,560069,110064,CARE159,12202.38
ORD100172,2025-02-13,CUST5914,PROD898,38,889.1,CENTRE6,560003,110041,CARE141,33785.8
ORD100173,2023-12-21,CUST3580,PROD190,8,119.86,CENTRE10,560067,110084,CARE117,958.88
ORD100174,2023-11-04,CUST3852,PROD232,26,371.93,CENTRE4,560066,110031,CARE192,9670.18
ORD100175,2024-06-17,CUST6922,PROD729,16,622.94,CENTRE18,560098,110042,CARE138,9967.04
ORD100176,2023-11-13,CUST9335,PROD544,1,371.92,CENTRE13,560020,110060,CARE100,371.92
ORD100177,2024-12-04,CUST4673,PROD748,3,183.51,CENTRE6,560028,110091,CARE109,550.53
ORD100178,2024-11-25,CUST2988,PROD539,38,563.2,CENTRE3,560047,110062,CARE132,21401.6
ORD100179,2023-06-01,CUST4292,PROD513,45,76.34,CENTRE1,560015,110066,CARE190,3435.3
ORD100180,2025-02-03,CUST3275,PROD539,31,712.24,CENTRE9,560028,110072,CARE171,22079.44
ORD100181,2024-04-27,CUST4878,PROD588,45,212.67,CENTRE5,560004,110095,CARE185,9570.15
ORD100182,2024-10-13,CUST9094,PROD492,39,981.44,CENTRE15,560042,110094,CARE139,38276.16
ORD100183,2023-06-20,CUST1430,PROD104,10,246.25,CENTRE12,560018,110011,CARE126,2462.5
ORD100184,2023-09-23,CUST6912,PROD138,24,122.42,CENTRE6,560029,110014,CARE193,2938.08
ORD100185,2024-06-06,CUST7044,PROD646,50,483.71,CENTRE7,560011,110055,CARE178,24185.5
ORD100186,2024-04-10,CUST8657,PROD304,6,939.76,CENTRE2,560094,110090,CARE176,5638.56
ORD100187,2024-02-01,CUST3126,PROD848,16,584.32,CENTRE18,560089,110010,CARE108,9349.12
ORD100188,2023-07-30,CUST2412,PROD482,11,959.51,CENTRE7,560017,110049,CARE107,10554.61
ORD100189,2024-02-02,CUST2077,PROD114,32,217.7,CENTRE15,560035,110017,CARE196,6966.4
ORD100190,2025-01-01,CUST6067,PROD429,6,747.57,CENTRE2,560036,110097,CARE152,4485.42
ORD100191,2023-08-20,CUST7523,PROD875,44,233.18,CENTRE17,560062,110002,CARE117,10259.92
ORD100192,2023-08-27,CUST8842,PROD953,40,359.18,CENTRE4,560026,110021,CARE118,14367.2
ORD100193,2024-10-10,CUST9612,PROD643,22,274.68,CENTRE13,560012,110067,CARE161,6042.96
ORD100194,2023-08-10,CUST7730,PROD295,49,683.42,CENTRE10,560045,110096,CARE120,33487.58
ORD100195,2024-11-27,CUST7708,PROD118,41,284.37,CENTRE15,560091,110016,CARE197,11659.17
ORD100196,2023-10-07,CUST2208,PROD792,4,72.74,CENTRE2,560071,110022,CARE131,290.96
ORD100197,2023-10-10,CUST3053,PROD104,4,351.77,CENTRE20,560084,110026,CARE150,1407.08
ORD100198,2025-04-06,CUST6194,PROD741,23,491.36,CENTRE1,560038,110057,CARE120,11301.28
ORD100199,2024-09-29,CUST2215,PROD851,42,531.42,CENTRE2,560060,110015,CARE182,22319.64
ORD100200,2024-12-14,CUST8372,PROD354,10,131.48,CENTRE13,560096,110005,CARE153,1314.8
ORD100201,2023-11-17,CUST8632,PROD331,45,712.73,CENTRE7,560064,110055,CARE150,32072.85
ORD100202,2024-02-27,CUST9476,PROD810,35,681.53,CENTRE8,560056,110064,CARE175,23853.55
ORD100203,2024-11-22,CUST6644,PROD998,7,537.53,CENTRE12,560066,110022,CARE124,3762.71
ORD100204,2025-02-11,CUST3102,PROD452,9,299.34,CENTRE8,560052,110081,CARE131,2694.06
ORD100205,2024-08-07,CUST3981,PROD419,32,624.74,CENTRE7,560025,110068,CARE144,19991.68
ORD100206,2024-01-03,CUST3114,PROD232,15,801.9,CENTRE3,560033,110063,CARE109,12028.5
ORD100207,2024-12-04,CUST8088,PROD205,21,945.91,CENTRE1,560023,110018,CARE128,19864.11
ORD100208,2025-05-07,CUST9238,PROD492,36,810.71,CENTRE14,560026,110096,CARE135,29185.56
ORD100209,2023-12-23,CUST1907,PROD615,42,941.47,CENTRE1,560088,110071,CARE117,39541.74
ORD100210,2025-05-31,CUST3034,PROD702,49,74.97,CENTRE1,560092,110054,CARE151,3673.53
ORD100211,2024-04-15,CUST9488,PROD413,23,892.98,CENTRE11,560036,110052,CARE115,20538.54
ORD100212,2024-07-13,CUST3507,PROD271,29,463.3,CENTRE7,560051,110002,CARE192,13435.7
ORD100213,2025-04-18,CUST5982,PROD166,47,89.37,CENTRE3,560014,110038,CARE194,4200.39
ORD100214,2025-03-27,CUST3697,PROD943,13,898.97,CENTRE8,560075,110016,CARE174,11686.61
ORD100215,2024-06-17,CUST3653,PROD146,2,295.49,CENTRE4,560099,110056,CARE186,590.98
ORD100216,2024-08-22,CUST6286,PROD405,45,957.06,CENTRE6,560076,110038,CARE119,43067.7
ORD100217,2024-11-11,CUST4694,PROD397,25,118.27,CENTRE6,560040,110093,CARE126,2956.75
ORD100218,2024-09-05,CUST6669,PROD566,23,283.18,CENTRE2,560022,110087,CARE156,6513.14
ORD100219,2023-10-02,CUST9501,PROD845,47,700.11,CENTRE14,560027,110035,CARE118,32905.17
ORD100220,2024-02-09,CUST5653,PROD632,9,501.37,CENTRE17,560093,110067,CARE186,4512.33
ORD100221,2024-01-17,CUST2292,PROD710,17,876.24,CENTRE4,560063,110042,CARE135,14896.08
ORD100222,2023-08-05,CUST5105,PROD636,3,525.48,CENTRE11,560056,110079,CARE197,1576.44
ORD100223,2024-05-12,CUST4216,PROD445,32,631.0,CENTRE11,560058,110048,CARE141,20192.0
ORD100224,2023-06-22,CUST5496,PROD544,46,300.24,CENTRE18,560055,110073,CARE101,13811.04
ORD100225,2025-01-23,CUST3050,PROD803,29,969.88,CENTRE7,560077,110084,CARE181,28126.52
ORD100226,2024-12-19,CUST5961,PROD237,36,546.02,CENTRE20,560096,110022,CARE115,19656.72
ORD100227,2024-01-22,CUST9740,PROD450,19,140.71,CENTRE7,560035,110019,CARE166,2673.49
ORD100228,2025-01-23,CUST2530,PROD601,35,353.23,CENTRE18,560041,110038,CARE139,12363.05
ORD100229,2024-01-12,CUST9234,PROD467,45,449.42,CENTRE13,560080,110067,CARE167,20223.9
ORD100230,2023-06-08,CUST3762,PROD868,32,648.24,CENTRE14,560014,110088,CARE113,20743.68
ORD100231,2023-08-12,CUST3526,PROD292,13,298.6,CENTRE4,560078,110027,CARE198,3881.8
ORD100232,2025-05-25,CUST3804,PROD268,37,72.32,CENTRE8,560050,110079,CARE180,2675.84
ORD100233,2025-03-08,CUST6531,PROD931,12,873.08,CENTRE7,560055,110092,CARE176,10476.96
ORD100234,2023-07-31,CUST1674,PROD513,35,240.0,CENTRE4,560026,110048,CARE160,8400.0
ORD100235,2024-01-21,CUST1464,PROD119,23,947.97,CENTRE12,560073,110067,CARE129,21803.31
ORD100236,2023-08-09,CUST2330,PROD333,21,648.23,CENTRE11,560046,110078,CARE184,13612.83
ORD100237,2023-07-03,CUST1744,PROD329,47,417.57,CENTRE6,560048,110033,CARE156,19625.79
ORD100238,2024-05-04,CUST5336,PROD844,30,349.36,CENTRE1,560081,110061,CARE138,10480.8
ORD100239,2023-08-12,CUST4453,PROD234,18,649.59,CENTRE13,560009,110060,CARE115,11692.62
ORD100240,2024-11-08,CUST7825,PROD316,39,333.04,CENTRE11,560058,110027,CARE169,12988.56
ORD100241,2024-01-30,CUST1496,PROD851,36,597.42,CENTRE1,560022,110043,CARE195,21507.12
ORD100242,2024-03-12,CUST9159,PROD122,11,699.89,CENTRE13,560005,110096,CARE178,7698.79
ORD100243,2025-04-16,CUST9938,PROD703,5,843.49,CENTRE7,560066,110093,CARE158,4217.45
ORD100244,2024-10-10,CUST5745,PROD616,34,450.8,CENTRE15,560033,110018,CARE119,15327.2
ORD100245,2024-01-06,CUST5949,PROD273,10,311.04,CENTRE8,560076,110022,CARE109,3110.4
ORD100246,2024-12-04,CUST8912,PROD226,29,140.63,CENTRE3,560053,110068,CARE196,4078.27
ORD100247,2023-10-14,CUST5012,PROD475,19,791.45,CENTRE9,560038,110092,CARE192,15037.55
ORD100248,2025-01-05,CUST7653,PROD828,17,180.02,CENTRE20,560078,110061,CARE143,3060.34
ORD100249,2025-01-11,CUST5873,PROD766,35,267.41,CENTRE12,560083,110002,CARE134,9359.35
ORD100250,2024-09-27,CUST8430,PROD911,24,489.4,CENTRE2,560068,110041,CARE105,11745.6
ORD100251,2024-02-04,CUST2195,PROD138,30,971.02,CENTRE3,560046,110054,CARE148,29130.6
ORD100252,2024-09-27,CUST1981,PROD484,1,772.05,CENTRE7,560051,110023,CARE132,772.05
ORD100253,2024-07-21,CUST3589,PROD997,50,56.85,CENTRE14,560004,110020,CARE114,2842.5
ORD100254,2023-12-12,CUST8202,PROD755,41,359.59,CENTRE10,560015,110061,CARE180,14743.19
ORD100255,2023-09-05,CUST7809,PROD361,33,461.37,CENTRE20,560024,110009,CARE159,15225.21
ORD100256,2023-09-08,CUST8933,PROD889,25,174.7,CENTRE16,560042,110001,CARE154,4367.5
ORD100257,2025-04-05,CUST8609,PROD647,47,924.89,CENTRE4,560055,110040,CARE174,43469.83
ORD100258,2024-08-15,CUST4342,PROD738,12,714.69,CENTRE18,560024,110090,CARE121,8576.28
ORD100259,2024-05-28,CUST6573,PROD149,2,292.39,CENTRE19,560046,110025,CARE190,584.78
ORD100260,2024-08-07,CUST3353,PROD708,40,973.47,CENTRE6,560032,110026,CARE188,38938.8
ORD100261,2024-07-25,CUST6121,PROD149,24,840.94,CENTRE9,560010,110089,CARE162,20182.56
